,fecha,dia,hora,SEN
,1/7/2024,7,16,"9,456.82"
,1/7/2024,7,17,"9,355.36"
,1/7/2024,7,18,"9,311.11"
,1/7/2024,7,19,"9,366.28"
,1/7/2024,7,20,"9,450.52"
,1/7/2024,7,21,"9,596.11"
,1/7/2024,7,22,"10,004.66"
,1/7/2024,7,23,"10,034.98"
,1/7/2024,7,24,"9,697.64"
,1/8/2024,8,1,"9,255.83"
,1/8/2024,8,2,"8,820.75"
,1/8/2024,8,3,"8,561.07"
,1/8/2024,8,4,"8,447.41"
,1/8/2024,8,5,"8,380.61"
,1/8/2024,8,6,"8,463.95"
,1/8/2024,8,7,"8,594.40"
,1/8/2024,8,8,"8,836.45"
,1/8/2024,8,9,"9,519.42"
,1/8/2024,8,10,"10,120.00"
,1/8/2024,8,11,"10,445.02"
,1/8/2024,8,12,"10,601.21"
,1/8/2024,8,13,"10,798.17"
,1/8/2024,8,14,"10,904.59"
,1/8/2024,8,15,"11,066.20"
,1/8/2024,8,16,"11,088.56"
,1/8/2024,8,17,"11,012.30"
,1/8/2024,8,18,"10,755.61"
,1/8/2024,8,19,"10,456.39"
,1/8/2024,8,20,"10,335.62"
,1/8/2024,8,21,"10,360.09"
,1/8/2024,8,22,"10,602.21"
,1/8/2024,8,23,"10,433.75"
,1/8/2024,8,24,"10,054.29"
,1/9/2024,9,1,"9,601.00"
,1/9/2024,9,2,"9,103.45"
,1/9/2024,9,3,"8,787.81"
,1/9/2024,9,4,"8,651.06"
,1/9/2024,9,5,"8,581.05"
,1/9/2024,9,6,"8,621.31"
,1/9/2024,9,7,"8,858.46"
,1/9/2024,9,8,"9,042.38"
,1/9/2024,9,9,"9,488.28"
,1/9/2024,9,10,"10,044.90"
,1/9/2024,9,11,"10,364.49"
,1/9/2024,9,12,"10,486.53"
,1/9/2024,9,13,"10,622.47"
,1/9/2024,9,14,"10,670.55"
,1/9/2024,9,15,"10,843.86"
,1/9/2024,9,16,"10,837.48"
,1/9/2024,9,17,"10,842.91"
,1/9/2024,9,18,"10,664.56"
,1/9/2024,9,19,"10,361.24"
,1/9/2024,9,20,"10,211.05"
,1/9/2024,9,21,"10,238.44"
,1/9/2024,9,22,"10,513.39"
,1/9/2024,9,23,"10,390.92"
,1/9/2024,9,24,"10,000.28"
,1/10/2024,10,1,"9,355.24"
,1/10/2024,10,2,"8,905.55"
,1/10/2024,10,3,"8,673.57"
,1/10/2024,10,4,"8,596.70"
,1/10/2024,10,5,"8,434.34"
,1/10/2024,10,6,"8,476.24"
,1/10/2024,10,7,"8,671.59"
,1/10/2024,10,8,"8,841.96"
,1/10/2024,10,9,"9,304.01"
,1/10/2024,10,10,"9,826.26"
,1/10/2024,10,11,"10,180.08"
,1/10/2024,10,12,"10,433.25"
,1/10/2024,10,13,"10,577.64"
,1/10/2024,10,14,"10,711.20"
,1/10/2024,10,15,"10,834.96"
,1/10/2024,10,16,"10,844.40"
,1/10/2024,10,17,"10,817.76"
,1/10/2024,10,18,"10,673.23"
,1/10/2024,10,19,"10,363.02"
,1/10/2024,10,20,"10,233.07"
,1/10/2024,10,21,"10,263.22"
,1/10/2024,10,22,"10,574.39"
,1/10/2024,10,23,"10,411.12"
,1/10/2024,10,24,"9,948.30"
,1/11/2024,11,1,"9,329.78"
,1/11/2024,11,2,"8,883.99"
,1/11/2024,11,3,"8,568.17"
,1/11/2024,11,4,"8,447.46"
,1/11/2024,11,5,"8,359.26"
,1/11/2024,11,6,"8,397.25"
,1/11/2024,11,7,"8,555.71"
,1/11/2024,11,8,"8,690.66"
,1/11/2024,11,9,"9,266.79"
,1/11/2024,11,10,"9,790.98"
,1/11/2024,11,11,"10,088.29"
,1/11/2024,11,12,"10,269.71"
,1/11/2024,11,13,"10,458.77"
,1/11/2024,11,14,"10,565.47"
,1/11/2024,11,15,"10,647.19"
,1/11/2024,11,16,"10,701.32"
,1/11/2024,11,17,"10,758.40"
,1/11/2024,11,18,"10,584.25"
,1/11/2024,11,19,"10,238.90"
,1/11/2024,11,20,"10,134.67"
,1/11/2024,11,21,"10,112.06"
,1/11/2024,11,22,"10,404.89"
,1/11/2024,11,23,"10,353.68"
,1/11/2024,11,24,"9,961.00"
,1/12/2024,12,1,"9,417.20"
,1/12/2024,12,2,"8,958.67"
,1/12/2024,12,3,"8,732.35"
,1/12/2024,12,4,"8,609.54"
,1/12/2024,12,5,"8,589.86"
,1/12/2024,12,6,"8,599.96"
,1/12/2024,12,7,"8,862.15"
,1/12/2024,12,8,"8,983.03"
,1/12/2024,12,9,"9,387.47"
,1/12/2024,12,10,"9,977.77"
,1/12/2024,12,11,"10,350.91"
,1/12/2024,12,12,"10,522.91"
,1/12/2024,12,13,"10,646.23"
,1/12/2024,12,14,"10,803.66"
,1/12/2024,12,15,"10,953.39"
,1/12/2024,12,16,"10,966.90"
,1/12/2024,12,17,"10,913.82"
,1/12/2024,12,18,"10,681.42"
,1/12/2024,12,19,"10,370.17"
,1/12/2024,12,20,"10,244.93"
,1/12/2024,12,21,"10,185.16"
,1/12/2024,12,22,"10,410.58"
,1/12/2024,12,23,"10,308.81"
,1/12/2024,12,24,"10,012.65"
,1/13/2024,13,1,"9,615.58"
,1/13/2024,13,2,"9,215.38"
,1/13/2024,13,3,"8,909.07"
,1/13/2024,13,4,"8,690.53"
,1/13/2024,13,5,"8,563.92"
,1/13/2024,13,6,"8,608.26"
,1/13/2024,13,7,"8,613.55"
,1/13/2024,13,8,"8,540.93"
,1/13/2024,13,9,"8,730.31"
,1/13/2024,13,10,"9,201.46"
,1/13/2024,13,11,"9,529.28"
,1/13/2024,13,12,"9,676.78"
,1/13/2024,13,13,"9,692.68"
,1/13/2024,13,14,"9,722.00"
,1/13/2024,13,15,"9,713.46"
,1/13/2024,13,16,"9,613.64"
,1/13/2024,13,17,"9,596.66"
,1/13/2024,13,18,"9,498.11"
,1/13/2024,13,19,"9,482.96"
,1/13/2024,13,20,"9,473.52"
,1/13/2024,13,21,"9,664.85"
,1/13/2024,13,22,"9,983.66"
,1/13/2024,13,23,"9,923.54"
,1/13/2024,13,24,"9,565.70"
,1/14/2024,14,1,"9,167.84"
,1/14/2024,14,2,"8,706.95"
,1/14/2024,14,3,"8,457.69"
,1/14/2024,14,4,"8,256.64"
,1/14/2024,14,5,"8,103.27"
,1/14/2024,14,6,"8,062.21"
,1/14/2024,14,7,"7,958.93"
,1/14/2024,14,8,"7,802.08"
,1/14/2024,14,9,"7,839.52"
,1/14/2024,14,10,"8,168.66"
,1/14/2024,14,11,"8,564.96"
,1/14/2024,14,12,"8,835.54"
,1/14/2024,14,13,"8,949.79"
,1/14/2024,14,14,"9,221.09"
,1/14/2024,14,15,"9,338.32"
,1/14/2024,14,16,"9,330.91"
,1/14/2024,14,17,"9,298.71"
,1/14/2024,14,18,"9,316.17"
,1/14/2024,14,19,"9,355.92"
,1/14/2024,14,20,"9,433.79"
,1/14/2024,14,21,"9,599.52"
,1/14/2024,14,22,"9,947.17"
,1/14/2024,14,23,"9,897.60"
,1/14/2024,14,24,"9,615.54"
,1/15/2024,15,1,"9,170.12"
,1/15/2024,15,2,"8,804.68"
,1/15/2024,15,3,"8,515.15"
,1/15/2024,15,4,"8,412.75"
,1/15/2024,15,5,"8,399.65"
,1/15/2024,15,6,"8,428.35"
,1/15/2024,15,7,"8,607.59"
,1/15/2024,15,8,"8,792.51"
,1/15/2024,15,9,"9,285.63"
,1/15/2024,15,10,"9,800.44"
,1/15/2024,15,11,"10,196.60"
,1/15/2024,15,12,"10,472.04"
,1/15/2024,15,13,"10,602.19"
,1/15/2024,15,14,"10,776.72"
,1/15/2024,15,15,"10,977.81"
,1/15/2024,15,16,"11,029.38"
,1/15/2024,15,17,"10,831.85"
,1/15/2024,15,18,"10,618.97"
,1/15/2024,15,19,"10,300.41"
,1/15/2024,15,20,"10,292.51"
,1/15/2024,15,21,"10,309.26"
,1/15/2024,15,22,"10,502.63"
,1/15/2024,15,23,"10,333.96"
,1/15/2024,15,24,"9,909.43"
,1/16/2024,16,1,"9,412.51"
,1/16/2024,16,2,"9,010.72"
,1/16/2024,16,3,"8,745.14"
,1/16/2024,16,4,"8,572.23"
,1/16/2024,16,5,"8,479.10"
,1/16/2024,16,6,"8,481.13"
,1/16/2024,16,7,"8,761.86"
,1/16/2024,16,8,"8,928.59"
,1/16/2024,16,9,"9,314.37"
,1/16/2024,16,10,"9,757.37"
,1/16/2024,16,11,"10,035.01"
,1/16/2024,16,12,"10,327.75"
,1/16/2024,16,13,"10,479.25"
,1/16/2024,16,14,"10,648.63"
,1/16/2024,16,15,"10,857.31"
,1/16/2024,16,16,"10,954.06"
,1/16/2024,16,17,"10,916.86"
,1/16/2024,16,18,"10,692.22"
,1/16/2024,16,19,"10,350.81"
,1/16/2024,16,20,"10,117.63"
,1/16/2024,16,21,"10,363.95"
,1/16/2024,16,22,"10,587.95"
,1/16/2024,16,23,"10,463.73"
,1/16/2024,16,24,"10,056.29"
,1/17/2024,17,1,"9,635.72"
,1/17/2024,17,2,"9,142.34"
,1/17/2024,17,3,"8,843.76"
,1/17/2024,17,4,"8,616.52"
,1/17/2024,17,5,"8,493.29"
,1/17/2024,17,6,"8,550.83"
,1/17/2024,17,7,"8,687.32"
,1/17/2024,17,8,"8,832.78"
,1/17/2024,17,9,"9,290.58"
,1/17/2024,17,10,"9,656.86"
,1/17/2024,17,11,"9,994.58"
,1/17/2024,17,12,"10,268.71"
,1/17/2024,17,13,"10,420.80"
,1/17/2024,17,14,"10,623.10"
,1/17/2024,17,15,"10,744.44"
,1/17/2024,17,16,"10,875.40"
,1/17/2024,17,17,"10,759.70"
,1/17/2024,17,18,"10,482.31"
,1/17/2024,17,19,"10,195.56"
,1/17/2024,17,20,"10,075.53"
,1/17/2024,17,21,"10,149.58"
,1/17/2024,17,22,"10,444.28"
,1/17/2024,17,23,"10,275.07"
,1/17/2024,17,24,"9,916.27"
,1/18/2024,18,1,"9,424.79"
,1/18/2024,18,2,"9,116.74"
,1/18/2024,18,3,"8,698.52"
,1/18/2024,18,4,"8,730.70"
,1/18/2024,18,5,"8,719.75"
,1/18/2024,18,6,"8,768.58"
,1/18/2024,18,7,"8,969.51"
,1/18/2024,18,8,"9,003.07"
,1/18/2024,18,9,"9,343.18"
,1/18/2024,18,10,"9,960.36"
,1/18/2024,18,11,"10,438.38"
,1/18/2024,18,12,"10,670.94"
,1/18/2024,18,13,"10,803.16"
,1/18/2024,18,14,"10,832.15"
,1/18/2024,18,15,"11,027.47"
,1/18/2024,18,16,"11,115.02"
,1/18/2024,18,17,"11,049.24"
,1/18/2024,18,18,"10,897.68"
,1/18/2024,18,19,"10,556.93"
,1/18/2024,18,20,"10,402.30"
,1/18/2024,18,21,"10,419.26"
,1/18/2024,18,22,"10,696.85"
,1/18/2024,18,23,"10,565.91"
,1/18/2024,18,24,"10,158.85"
